user_id,full_name,department,job_level,primary_role_id,employment_status,join_date,country,manager_user_id
USR_0001,Demo User 01,Engineering,T3,ROLE_ANALYST,ACTIVE,2025-06-29,DE,
USR_0002,Demo User 02,Finance,T5,ROLE_ANALYST,ACTIVE,2025-07-01,DE,
USR_0003,Demo User 03,Legal,T5,ROLE_VIEWER,ACTIVE,2025-11-06,VN,
USR_0004,Demo User 04,Finance,T3,ROLE_STEWARD,ACTIVE,2025-01-02,VN,
USR_0005,Demo User 05,Finance,T5,ROLE_ANALYST,ACTIVE,2024-07-03,DE,
USR_0006,Demo User 06,Data Platform,T5,ROLE_ANALYST,ACTIVE,2025-08-05,VN,USR_0003
USR_0007,Demo User 07,Finance,T5,ROLE_VIEWER,ACTIVE,2025-01-07,SG,USR_0001
USR_0008,Demo User 08,Finance,T5,ROLE_DATA_ENGINEER,ACTIVE,2025-01-22,DE,USR_0005
USR_0009,Demo User 09,Operations,T4,ROLE_DATA_ENGINEER,LEAVER,2025-08-15,VN,USR_0004
USR_0010,Demo User 10,Data Platform,T5,ROLE_ANALYST,ACTIVE,2025-08-04,VN,USR_0001
USR_0011,Demo User 11,Customer Service,T5,ROLE_DATA_ENGINEER,ACTIVE,2024-06-10,VN,USR_0005
USR_0012,Demo User 12,Engineering,T4,ROLE_DATA_ENGINEER,ACTIVE,2024-06-20,VN,USR_0005
USR_0013,Demo User 13,Legal,T3,ROLE_VIEWER,ACTIVE,2024-10-12,SG,USR_0002
USR_0014,Demo User 14,Security,T5,ROLE_DATA_ENGINEER,MOVER,2024-05-26,TH,USR_0002
USR_0015,Demo User 15,Legal,T5,ROLE_STEWARD,ACTIVE,2025-02-02,VN,USR_0005
USR_0016,Demo User 16,Operations,T4,ROLE_VIEWER,ACTIVE,2024-06-14,DE,USR_0005
USR_0017,Demo User 17,Engineering,T3,ROLE_ANALYST,ACTIVE,2024-02-08,VN,USR_0005
USR_0018,Demo User 18,Customer Service,T5,ROLE_FINANCE_OPS,LEAVER,2025-02-05,VN,USR_0001
USR_0019,Demo User 19,Legal,T3,ROLE_ANALYST,ACTIVE,2025-07-16,DE,USR_0005
USR_0020,Demo User 20,Data Platform,T5,ROLE_ANALYST,ACTIVE,2025-03-31,VN,USR_0002
USR_0021,Demo User 21,Finance,T4,ROLE_DATA_ENGINEER,ACTIVE,2024-06-25,DE,USR_0002
USR_0022,Demo User 22,Legal,T5,ROLE_ANALYST,ACTIVE,2024-01-07,VN,USR_0002
USR_0023,Demo User 23,Engineering,T5,ROLE_VIEWER,ACTIVE,2024-09-29,DE,USR_0004
USR_0024,Demo User 24,Data Platform,T5,ROLE_ANALYST,ACTIVE,2024-10-20,VN,USR_0001
USR_0025,Demo User 25,Legal,T4,ROLE_ANALYST,ACTIVE,2024-03-21,VN,USR_0003
USR_0026,Demo User 26,HR,T4,ROLE_FINANCE_OPS,ACTIVE,2024-11-27,VN,USR_0005
USR_0027,Demo User 27,Finance,T4,ROLE_VIEWER,LEAVER,2025-01-29,VN,USR_0005
USR_0028,Demo User 28,Engineering,T3,ROLE_VIEWER,ACTIVE,2025-01-27,VN,USR_0002
USR_0029,Demo User 29,Security,T5,ROLE_ANALYST,ACTIVE,2025-03-25,DE,USR_0002
USR_0030,Demo User 30,Legal,T4,ROLE_VIEWER,ACTIVE,2024-03-24,SG,USR_0005
USR_0031,Demo User 31,Finance,T5,ROLE_VIEWER,ACTIVE,2024-08-25,VN,USR_0005
USR_0032,Demo User 32,Security,T5,ROLE_ANALYST,ACTIVE,2025-02-26,SG,USR_0001
USR_0033,Demo User 33,Engineering,T4,ROLE_FINANCE_OPS,ACTIVE,2025-07-12,VN,USR_0003
USR_0034,Demo User 34,Finance,T5,ROLE_FINANCE_OPS,ACTIVE,2025-10-11,VN,USR_0001
USR_0035,Demo User 35,Data Platform,T4,ROLE_ANALYST,ACTIVE,2025-01-27,TH,USR_0005
USR_0036,Demo User 36,Data Platform,T4,ROLE_FINANCE_OPS,MOVER,2024-03-16,TH,USR_0004
USR_0037,Demo User 37,Engineering,T5,ROLE_DATA_ENGINEER,ACTIVE,2025-10-11,VN,USR_0005
USR_0038,Demo User 38,Security,T5,ROLE_DATA_ENGINEER,ACTIVE,2024-05-13,DE,USR_0005
USR_0039,Demo User 39,Finance,T5,ROLE_STEWARD,ACTIVE,2024-05-17,TH,USR_0002
USR_0040,Demo User 40,Security,T4,ROLE_ANALYST,ACTIVE,2024-01-15,VN,USR_0003
USR_0041,Demo User 41,Data Platform,T5,ROLE_FINANCE_OPS,ACTIVE,2025-08-07,VN,USR_0005
USR_0042,Demo User 42,Customer Service,T5,ROLE_FINANCE_OPS,ACTIVE,2024-05-24,TH,USR_0002
USR_0043,Demo User 43,Customer Service,T4,ROLE_VIEWER,ACTIVE,2024-05-12,DE,USR_0005
USR_0044,Demo User 44,HR,T5,ROLE_VIEWER,LEAVER,2025-10-25,TH,USR_0002
USR_0045,Demo User 45,Engineering,T3,ROLE_ANALYST,ACTIVE,2025-06-19,SG,USR_0003
USR_0046,Demo User 46,Customer Service,T4,ROLE_VIEWER,ACTIVE,2025-06-01,TH,USR_0004
USR_0047,Demo User 47,Data Platform,T4,ROLE_VIEWER,ACTIVE,2024-02-19,VN,USR_0003
USR_0048,Demo User 48,Security,T4,ROLE_DATA_ENGINEER,ACTIVE,2024-07-10,TH,USR_0005
USR_0049,Demo User 49,Security,T5,ROLE_STEWARD,ACTIVE,2025-05-23,VN,USR_0001
USR_0050,Demo User 50,Data Platform,T5,ROLE_FINANCE_OPS,ACTIVE,2025-10-09,TH,USR_0002
USR_0051,Demo User 51,Data Platform,T5,ROLE_DATA_ENGINEER,ACTIVE,2024-09-20,TH,USR_0005
USR_0052,Demo User 52,Customer Service,T5,ROLE_FINANCE_OPS,MOVER,2025-10-28,VN,USR_0005
USR_0053,Demo User 53,Engineering,T5,ROLE_STEWARD,ACTIVE,2025-04-28,DE,USR_0005
USR_0054,Demo User 54,Legal,T5,ROLE_STEWARD,ACTIVE,2025-09-05,VN,USR_0001
USR_0055,Demo User 55,Data Platform,T4,ROLE_DATA_ENGINEER,ACTIVE,2024-09-06,VN,USR_0002
USR_0056,Demo User 56,Finance,T5,ROLE_DATA_ENGINEER,ACTIVE,2025-11-18,SG,USR_0002
USR_0057,Demo User 57,Legal,T5,ROLE_VIEWER,ACTIVE,2025-07-13,VN,USR_0001
USR_0058,Demo User 58,Finance,T2,ROLE_FINANCE_OPS,LEAVER,2025-08-01,VN,USR_0001
USR_0059,Demo User 59,Security,T4,ROLE_ADMIN,ACTIVE,2024-03-20,VN,USR_0003
USR_0060,Demo User 60,Legal,T4,ROLE_VIEWER,ACTIVE,2025-01-01,TH,USR_0002
